Model,MAE,RMSE,RÂ²,Dir_Acc,IC,IC_pval
Mean (Train),0.007649114732419895,0.010715080402169432,0.0,0.48542920494140007,,
Mean (Val),0.006547435792162941,0.009931592623882962,-0.0002241054097555928,0.4818920916481892,,
Mean (Test),0.007667265710766409,0.010424991443076445,-0.0004938239061809124,0.4741506646971935,,
LinearReg (Train),0.0075700515765956345,0.010523921564393192,0.03536206500483641,0.5492556224263542,0.15485645107776042,3.4684421391889923e-35
LinearReg (Val),0.02413049995126494,0.028061717827419053,-6.985241016988278,0.5114560236511456,0.018320395963873283,0.500746592328851
LinearReg (Test),0.0238065852531439,0.029449700045722373,-6.984077596355702,0.5036927621861153,-0.03818858196638903,0.16019091905686536
Ridge (Train),0.007577364162913846,0.010588592610770293,0.02346995347171532,0.5427621159328476,0.12324797581372393,8.451866167476694e-23
Ridge (Val),0.00662739361775854,0.0100288566342567,-0.019911217163668837,0.5048041389504804,0.04509127695725117,0.09733575075013447
Ridge (Test),0.007678795412981898,0.01042330439426744,-0.0001700355653426744,0.5192023633677991,0.0714279120768917,0.008557454571415235
Lasso (Train),0.007647119576605788,0.010708682350555979,0.0011938578549216539,0.5120367437440608,0.05298296953938952,2.529090030946198e-05
Lasso (Val),0.00655270026234557,0.009928914430639386,0.0003152707719900061,0.5144124168514412,0.03825670423424005,0.1596005583385024
Lasso (Test),0.007661028166635277,0.010428281279463747,-0.0011253794046677257,0.5103397341211225,0.006694532099074181,0.805595382832183
